 #                                                                                ref per =   0.0 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap

     1         0.0     7960.88     4255.09     4255.09     3423.44     3423.44     1.00000        0.00        0.00
     2     10278.7     7960.33     4254.52     4254.52     3422.82     3422.82     1.00000        0.00        0.00
     3     20557.4     7959.70     4253.86     4253.86     3422.11     3422.11     1.00000        0.00        0.00
     4     30836.1     7959.00     4253.12     4253.12     3421.32     3421.32     1.00000        0.00        0.00
     5     41114.8     7958.22     4252.31     4252.31     3420.44     3420.44     1.00000        0.00        0.00
     6     51393.5     7957.37     4251.42     4251.42     3419.49     3419.49     1.00000        0.00        0.00
     7     61672.2     7956.45     4250.46     4250.46     3418.45     3418.45     1.00000        0.00        0.00
     8     71950.9     7955.45     4249.42     4249.42     3417.33     3417.33     1.00000        0.00        0.00
     9     82229.6     7954.39     4248.31     4248.31     3416.14     3416.14     1.00000        0.00        0.00
    10     92508.3     7953.26     4247.13     4247.13     3414.86     3414.86     1.00000        0.00        0.00
    11    102787.0     7952.06     4245.88     4245.88     3413.51     3413.51     1.00000        0.00        0.00
    12    113065.7     7950.79     4244.56     4244.56     3412.09     3412.09     1.00000        0.00        0.00
    13    123344.4     7949.46     4243.16     4243.16     3410.59     3410.59     1.00000        0.00        0.00
    14    133623.1     7948.06     4241.70     4241.70     3409.01     3409.01     1.00000        0.00        0.00
    15    143901.8     7946.59     4240.17     4240.17     3407.36     3407.36     1.00000        0.00        0.00
    16    154180.5     7945.07     4238.57     4238.57     3405.64     3405.64     1.00000        0.00        0.00
    17    164459.2     7943.48     4236.91     4236.91     3403.85     3403.85     1.00000        0.00        0.00
    18    174737.9     7941.82     4235.18     4235.18     3401.99     3401.99     1.00000        0.00        0.00
    19    185016.6     7940.11     4233.39     4233.39     3400.06     3400.06     1.00000        0.00        0.00
    20    195295.3     7938.33     4231.54     4231.54     3398.06     3398.06     1.00000        0.00        0.00
    21    205574.0     7936.50     4229.62     4229.62     3395.99     3395.99     1.00000        0.00        0.00
    22    215852.7     7934.60     4227.64     4227.64     3393.85     3393.85     1.00000        0.00        0.00
    23    226131.4     7932.65     4225.59     4225.59     3391.65     3391.65     1.00000        0.00        0.00
    24    236410.1     7930.64     4223.49     4223.49     3389.38     3389.38     1.00000        0.00        0.00
    25    246688.8     7928.56     4221.33     4221.33     3387.05     3387.05     1.00000        0.00        0.00
    26    256967.5     7926.44     4219.10     4219.10     3384.65     3384.65     1.00000        0.00        0.00
    27    267246.2     7924.26     4216.82     4216.82     3382.19     3382.19     1.00000        0.00        0.00
    28    277524.8     7922.02     4214.48     4214.48     3379.66     3379.66     1.00000        0.00        0.00
    29    287803.5     7919.73     4212.09     4212.09     3377.07     3377.07     1.00000        0.00        0.00
    30    298082.2     7917.38     4209.63     4209.63     3374.43     3374.43     1.00000        0.00        0.00
    31    308361.0     7914.98     4207.11     4207.11     3371.71     3371.71     1.00000        0.00        0.00
    32    318639.7     7912.55     4204.57     4204.57     3368.96     3368.96     1.00000        0.00        0.00
    33    328918.3     7909.95     4201.86     4201.86     3366.03     3366.03     1.00000        0.00        0.00
    34    330000.0     7909.70     4201.60     4201.60     3365.75     3365.75     1.00000        0.00        0.00
    35    330000.0     3626.78     6607.97     6607.97     4854.10     4854.10     1.00000        0.00        0.00
    36    339197.0     3626.32     6606.45     6606.45     4853.62     4853.62     1.00000        0.00        0.00
    37    349475.7     3625.86     6604.94     6604.94     4853.13     4853.13     1.00000        0.00        0.00
    38    359754.4     3625.34     6603.24     6603.24     4852.58     4852.58     1.00000        0.00        0.00
    39    370033.1     3624.83     6601.55     6601.55     4852.04     4852.04     1.00000        0.00        0.00
    40    380311.8     3624.30     6599.81     6599.81     4851.48     4851.48     1.00000        0.00        0.00
    41    390590.5     3623.77     6598.06     6598.06     4850.92     4850.92     1.00000        0.00        0.00
    42    400869.2     3623.22     6596.27     6596.27     4850.35     4850.35     1.00000        0.00        0.00
    43    411147.9     3622.67     6594.45     6594.45     4849.77     4849.77     1.00000        0.00        0.00
    44    421426.6     3622.11     6592.61     6592.61     4849.18     4849.18     1.00000        0.00        0.00
    45    431705.3     3621.54     6590.73     6590.73     4848.58     4848.58     1.00000        0.00        0.00
    46    441984.0     3620.96     6588.83     6588.83     4847.97     4847.97     1.00000        0.00        0.00
    47    452262.7     3620.38     6586.90     6586.90     4847.36     4847.36     1.00000        0.00        0.00
    48    462541.4     3619.78     6584.94     6584.94     4846.73     4846.73     1.00000        0.00        0.00
    49    472820.1     3619.18     6582.96     6582.96     4846.10     4846.10     1.00000        0.00        0.00
    50    483098.8     3618.57     6580.95     6580.95     4845.46     4845.46     1.00000        0.00        0.00
    51    493377.5     3617.96     6578.91     6578.91     4844.81     4844.81     1.00000        0.00        0.00
